Time,GeoType,GeoID,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2009,UHF42,502,Stapleton - St. George,116.1,115.3,1090	
2009,UHF42,503,Willowbrook,47.9,46.7,313	
2009,UHF42,504,South Beach - Tottenville,36.3,36.6,536	
2010,Borough,1,Bronx,199.0,200.7,20451	
2010,Borough,2,Brooklyn,115.7,115.7,22587	
2010,Borough,3,Manhattan,100.0,97.0,13121	
2010,Borough,4,Queens,59.2,59.4,10622	
2010,Borough,5,Staten Island,78.1,76.5,2755	
2010,Citywide,1,New York City,107.2,107.4,69536	
2010,UHF42,101,Kingsbridge - Riverdale,74.4,73.6,542	
2010,UHF42,102,Northeast Bronx,92.9,92.4,1359	
2010,UHF42,103,Fordham - Bronx Pk,170.2,170.0,3131	
2010,UHF42,104,Pelham - Throgs Neck,142.0,143.4,3244	
2010,UHF42,105,Crotona -Tremont,308.0,309.6,4459	
2010,UHF42,106,High Bridge - Morrisania,271.0,274.3,4059	
2010,UHF42,107,Hunts Point - Mott Haven,307.1,311.0,2973	
2010,UHF42,201,Greenpoint,68.2,57.9,600	
2010,UHF42,202,Downtown - Heights - Slope,93.9,87.0,1593	
2010,UHF42,203,Bedford Stuyvesant - Crown Heights,221.9,224.3,5426	
2010,UHF42,204,East New York,202.0,208.2,2796	
2010,UHF42,205,Sunset Park,85.4,80.9,799	
2010,UHF42,206,Borough Park,28.9,28.6,693	
2010,UHF42,207,East Flatbush - Flatbush,129.8,130.0,2980	
2010,UHF42,208,Canarsie - Flatlands,97.1,95.3,1446	
2010,UHF42,209,Bensonhurst - Bay Ridge,27.5,27.2,470	
2010,UHF42,210,Coney Island - Sheepshead Bay,51.4,50.2,1201	
2010,UHF42,211,Williamsburg - Bushwick,245.8,238.3,3703	
2010,UHF42,301,Washington Heights,94.0,94.1,1893	
2010,UHF42,302,Central Harlem - Morningside Heights,284.5,284.3,3698	
2010,UHF42,303,East Harlem,299.0,299.5,2579	
2010,UHF42,304,Upper West Side,59.3,58.9,1104	
2010,UHF42,305,Upper East Side,21.9,21.1,397	
2010,UHF42,306,Chelsea - Clinton,53.7,49.9,681	
2010,UHF42,307,Gramercy Park - Murray Hill,49.4,42.1,520	
2010,UHF42,308,Greenwich Village - SoHo,16.7,15.8,117	
2010,UHF42,309,Union Square - Lower East Side,80.0,76.8,1332	
2010,UHF42,310,Lower Manhattan,67.6,57.9,269	
2010,UHF42,401,Long Island City - Astoria,60.1,56.3,1018	
2010,UHF42,402,West Queens,36.4,35.8,1387	
2010,UHF42,403,Flushing - Clearview,23.9,24.5,529	
2010,UHF42,404,Bayside - Little Neck,18.3,18.0,129	
2010,UHF42,405,Ridgewood - Forest Hills,39.9,39.6,789	
2010,UHF42,406,Fresh Meadows,43.7,42.9,327	
2010,UHF42,407,Southwest Queens,69.6,71.0,1453	
2010,UHF42,408,Jamaica,106.5,107.3,2373	
2010,UHF42,409,Southeast Queens,73.5,71.6,1093	
2010,UHF42,410,Rockaways,117.1,115.0,967	
2010,UHF42,501,Port Richmond,142.7,146.3,738	
2010,UHF42,502,Stapleton - St. George,113.1,112.2,1069	
